Key	Type	Desc	English	Japanese	Ukrainian	Russian	Chinese (Simplified)	Chinese (Traditional)
enable_spoof	Text		Enable	オン	Увімкнути	Включить	启用	打開
disable_spoof	Text		Disable	オフ	Вимкнути	Выключить	停用	關掉
